## 1
## 윤종신은 “MC보다는 이런 조사를 더 잘하는 사람”이라고 답하며 웃음을 자아냈다.
## <윤종신:PER>은 “MC보다는 이런 조사를 더 잘하는 사람”이라고 답하며 웃음을 자아냈다.
윤종신	윤종신	NNP	B-PER
40	40	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
30	30	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
19	19	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
70	70	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
26	26	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
16	16	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
30	30	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
23	23	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
14	14	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
순	순	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

