## 1
## 반면 한국을 이긴 일본은 2승1패를 기록했다 .
## 반면 <한국:ORG>을 이긴 <일본:ORG>은 <2승:NOH><1패:NOH>를 기록했다 .
반면	반면	NNG	O
(	(	SS	O
24	24	SN	B-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
1	1	SN	B-NOH
타	타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
줄인	줄이+ㄴ	VV+ETM	O
_	_	_	O
재미	재미	NNG	O
교포	교포	NNG	O
_	_	_	O
아이린	아이린	NNP	B-PER
_	_	_	I-PER
조	조	NNG	I-PER
(	(	SS	O
24	24	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
8	8	SN	B-NOH
언더파	언더파	NNG	I-NOH
_	_	_	O
280	280	SN	B-NOH
타	타	NNG	I-NOH
로	로	JKB	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
6	6	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
올	오르	VV	O
라	아	EC	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
자매	자매	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
성적	성적	NNG	O
을	을	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
고	고	EC	O
_	_	_	O
이선화	이선화	NNP	B-PER
(	(	SS	O
22	22	SN	O
;	;	SP	O
CJ	CJ	SL	B-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
김미현	김미현	NNP	B-PER
(	(	SS	O
31	31	SN	B-NOH
;	;	SP	O
KTF	KTF	SL	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
정지민	정지민	NNP	B-PER
(	(	SS	O
24	24	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
7	7	SN	B-NOH
언더	언더	NNG	I-NOH
파	파	NNG	I-NOH
_	_	_	O
281	281	SN	B-NOH
타	타	NNG	I-NOH
로	로	JKB	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
10	10	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
자리	자리하	VV	O
했	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 135
## 이형택, 올림픽 본선 단식 진출권 획득 이형택(32 · 삼성증권)이 9일 남자프로테니스(ATP)가 발표한 새 랭킹에서 55위에 이름을 올려 2008 올림픽 단식 출전권을 확보했다 ．
## <이형택:PER>, 올림픽 본선 단식 진출권 획득 <이형택:PER>(<32:NOH> · <삼성증권:ORG>)이 <9일:DAT> <남자프로테니스:ORG>(<ATP:ORG>)가 발표한 새 랭킹에서 <55위:NOH>에 이름을 올려 <2008:DAT> 올림픽 단식 출전권을 확보했다 ．
이형택	이형택	NNP	B-PER
,	,	SP	O
_	_	_	O
올림픽	올림픽	NNG	O
_	_	_	O
본선	본선	NNG	O
_	_	_	O
단식	단식	NNG	O
_	_	_	O
진출권	진출권	NNG	O
_	_	_	O
획득	획득	NNG	O
_	_	_	O
이형택	이형택	NNP	B-PER
(	(	SS	O
32	32	SN	B-NOH
_	_	_	O
·	·	SP	O
_	_	_	O
삼성	삼성	NNP	B-ORG
증권	증권	NNG	I-ORG
)	)	SS	O
이	이	JKS	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
남자	남자	NNG	B-ORG
프로	프로	NNG	I-ORG
테니스	테니스	NNG	I-ORG
(	(	SS	O
ATP	ATP	SL	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
새	새	MM	O
_	_	_	O
랭킹	랭킹	NNG	O
에서	에서	JKB	O
_	_	_	O
55	55	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
올려	올리+어	VV+EC	O
_	_	_	O
2008	2008	SN	B-DAT
_	_	_	O
올림픽	올림픽	NNG	O
_	_	_	O
단식	단식	NNG	O
_	_	_	O
출전권	출전권	NNG	O
을	을	JKO	O
_	_	_	O
확보	확보하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
．	．	SF	O

## 136
## SI가 꼽은 10명 중에서 앤서니 김(23 · 나이키골프)은 3위에 랭크됐다 .
## <SI:ORG>가 꼽은 <10명:NOH> 중에서 <앤서니 김:PER>(<23:NOH> · <나이키골프:ORG>)은 <3위:NOH>에 랭크됐다 .
SI	SI	SL	B-ORG
가	가	JKS	O
_	_	_	O
꼽	꼽	VV	O
은	은	ETM	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
_	_	_	O
앤서니	앤서니	NNP	B-PER
_	_	_	I-PER
김	김	NNP	I-PER
(	(	SS	O
23	23	SN	B-NOH
_	_	_	O
·	·	SP	O
_	_	_	O
나이키골프	나이키골프	NNP	B-ORG
)	)	SS	O
은	은	JX	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
랭크	랭크되	VV	O
됐	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 137
## 이번 대회 출전 선수 가운데 상금랭킹 순으로 14명을 선정, 2명씩 7개 매치로 나눠 각 매치별로 1라운드 최종 승무패를 예상하는 방식으로 진행되는 이번 게임에서 황인춘의 우세를 예상한 비율은 21.47%에 그쳤고 나머지 13.65%는 같은 타수를 기록할 것으로 전망했다 .
## 이번 대회 출전 선수 가운데 상금랭킹 순으로 <14명:NOH>을 선정, <2명:NOH>씩 <7개:NOH> 매치로 나눠 각 매치별로 <1라운드:NOH> 최종 승무패를 예상하는 방식으로 진행되는 이번 게임에서 <황인춘:PER>의 우세를 예상한 비율은 <21.47%:PNT>에 그쳤고 나머지 <13.65%:PNT>는 같은 타수를 기록할 것으로 전망했다 .
이번	이번	NNG	O
_	_	_	O
대회	대회	NNG	O
_	_	_	O
출전	출전	NNG	O
_	_	_	O
선수	선수	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
상금	상금	NNG	O
랭킹	랭킹	NNG	O
_	_	_	O
순	순	NNG	O
으로	으로	JKB	O
_	_	_	O
14	14	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
선정	선정	NNG	O
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
7	7	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
매치	매치	NNG	O
로	로	JKB	O
_	_	_	O
나눠	나누+어	VV+EC	O
_	_	_	O
각	각	MM	O
_	_	_	O
매치	매치	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
1	1	SN	B-NOH
라운드	라운드	NNG	I-NOH
_	_	_	O
최종	최종	NNG	O
_	_	_	O
승	승	NNG	O
무패	무패	NNG	O
를	를	JKO	O
_	_	_	O
예상하	예상하	VV	O
는	는	ETM	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
진행되	진행되	VV	O
는	는	ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
게임	게임	NNG	O
에서	에서	JKB	O
_	_	_	O
황인춘	황인춘	NNP	B-PER
의	의	JKG	O
_	_	_	O
우세	우세	NNG	O
를	를	JKO	O
_	_	_	O
예상한	예상하+ㄴ	VV+ETM	O
_	_	_	O
비율	비율	NNG	O
은	은	JX	O
_	_	_	O
21.47	21.47	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
그	그치	VV	O
쳤	었	EP	O
고	고	EC	O
_	_	_	O
나머지	나머지	NNG	O
_	_	_	O
13.65	13.65	SN	B-PNT
%	%	SW	I-PNT
는	는	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
타수	타수	NNG	O
를	를	JKO	O
_	_	_	O
기록할	기록하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전망	전망하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 138
## 김형성의 우세가 예상되는 이유다 .
## <김형성:PER>의 우세가 예상되는 이유다 .
김형성	김형성	NNP	B-PER
의	의	JKG	O
_	_	_	O
우세	우세	NNG	O
가	가	JKS	O
_	_	_	O
예상되	예상되	VV	O
는	는	ETM	O
_	_	_	O
이유	이유+이	NNG+VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 139
## 이일희(테일러메이드)도 장타에 공격적인 플레이를 펼치는 선수지만 그린싸움에서 오채아가 앞설 것으로 보인다 .
## <이일희:PER>(<테일러메이드:ORG>)도 장타에 공격적인 플레이를 펼치는 선수지만 그린싸움에서 <오채아:PER>가 앞설 것으로 보인다 .
이일희	이일희	NNP	B-PER
(	(	SS	O
테일러메이드	테일러메이드	NNP	B-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
장타	장타	NNG	O
에	에	JKB	O
_	_	_	O
공격적	공격적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
플레이	플레이	NNG	O
를	를	JKO	O
_	_	_	O
펼치	펼치	VV	O
는	는	ETM	O
_	_	_	O
선수	선수+이	NNG+VCP	O
지만	지만	EC	O
_	_	_	O
그린	그린	NNG	O
싸움	싸움	NNG	O
에서	에서	JKB	O
_	_	_	O
오채	오채	NNG	B-PER
아가	아가	NNG	O
_	_	_	O
앞설	앞서+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EC	O
_	_	_	O
.	.	SF	O

## 140
## 갤러리 대부분이 캘리포니아 출신인 우즈와 미켈슨을 열렬히 응원할 것으로 보이기 때문 .
## 갤러리 대부분이 <캘리포니아:LOC> 출신인 <우즈:PER>와 <미켈슨:PER>을 열렬히 응원할 것으로 보이기 때문 .
갤러리	갤러리	NNG	O
_	_	_	O
대부분	대부분	NNG	O
이	이	JKS	O
_	_	_	O
캘리포니아	캘리포니아	NNP	B-LOC
_	_	_	O
출신	출신	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
우즈	우즈	NNP	B-PER
와	와	JC	O
_	_	_	O
미켈슨	미켈슨	NNP	B-PER
을	을	JKO	O
_	_	_	O
열렬히	열렬히	MAG	O
_	_	_	O
응원할	응원하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보이	보이	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
_	_	_	O
.	.	SF	O

## 141
## 최나연(SK텔레콤)은 미국으로 건너가 기량이 향상된 선수다 .
## <최나연:PER>(<SK텔레콤:ORG>)은 <미국:LOC>으로 건너가 기량이 향상된 선수다 .
최나연	최나연	NNP	B-PER
(	(	SS	O
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
)	)	SS	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
건너가	건너가+아	VV+EC	O
_	_	_	O
기량	기량	NNG	O
이	이	JKS	O
_	_	_	O
향상된	향상되+ㄴ	VV+ETM	O
_	_	_	O
선수	선수+이	NNG+VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 142
## 46만 4709달러를 벌어 상금랭킹 40걸에게 주어지는 2년짜리 풀시드를 사실상 손에 넣었다 .
## <46만 4709달러:MNY>를 벌어 상금랭킹 <40걸:NOH>에게 주어지는 <2년:DUR>짜리 풀시드를 사실상 손에 넣었다 .
46	46	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
4709	4709	SN	I-MNY
달러	달러	NNB	I-MNY
를	를	JKO	O
_	_	_	O
벌	벌	VV	O
어	어	EC	O
_	_	_	O
상금	상금	NNG	O
랭킹	랭킹	NNG	O
_	_	_	O
40	40	SN	B-NOH
걸	걸	NNG	I-NOH
에게	에게	JKB	O
_	_	_	O
주어지	주어지	VV	O
는	는	ETM	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
짜리	짜리	XSN	O
_	_	_	O
풀시드	풀시드	NNG	O
를	를	JKO	O
_	_	_	O
사실상	사실상	NNG	O
_	_	_	O
손	손	NNG	O
에	에	JKB	O
_	_	_	O
넣	넣	VV	O
었	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 143
## 최나연은 13일부터 사흘간 제주도 테디밸리 골프장(파72 · 6353야드)에서 열리는 BC카드클래식(총상금 4억원)에 초청출전한다 .
## <최나연:PER>은 <13일:DAT>부터 사흘간 <제주도:LOC> <테디밸리 골프장:LOC>(<파72:NOH> · <6353야드:NOH>)에서 열리는 <BC카드클래식:POH>(총상금 <4억원:MNY>)에 초청출전한다 .
최나연	최나연	NNP	B-PER
은	은	JX	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
사흘	사흘	NNG	O
간	간	XSN	O
_	_	_	O
제주도	제주도	NNP	B-LOC
_	_	_	O
테디	테디	NNP	B-LOC
밸리	밸리	NNG	I-LOC
_	_	_	I-LOC
골프장	골프장	NNG	I-LOC
(	(	SS	O
파	파	NNG	B-NOH
72	72	SN	I-NOH
_	_	_	O
·	·	SP	O
_	_	_	O
6353	6353	SN	B-NOH
야드	야드	NNB	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
BC	BC	SL	B-POH
카드	카드	NNG	I-POH
클래식	클래식	NNG	I-POH
(	(	SS	O
총	총	XPN	O
상금	상금	NNG	O
_	_	_	O
4	4	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
에	에	JKB	O
_	_	_	O
초청	초청	NNG	O
출전한다	출전하+ㄴ다	VV+EC	O
_	_	_	O
.	.	SF	O

## 144
## 대회코스인 필로스골프장은 장타력보다는 정확한 코스공략이 필요한 곳이다 .
## 대회코스인 <필로스골프장:LOC>은 장타력보다는 정확한 코스공략이 필요한 곳이다 .
대회	대회	NNG	O
코스	코스	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
필로스	필로스	NNG	B-LOC
골프장	골프장	NNG	I-LOC
은	은	JX	O
_	_	_	O
장타력	장타력	NNG	O
보다	보다	JKB	O
는	는	JX	O
_	_	_	O
정확한	정확하+ㄴ	VA+ETM	O
_	_	_	O
코스	코스	NNG	O
공략	공략	NNG	O
이	이	JKS	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
곳	곳	NNG	O
이	이	VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 145
## 김보경(던롭 스릭슨)도 두산매치플레이챔피언십 우승후 자신감을 얻었지만 샷의 일관성에서는 유소연이 앞선다 .
## <김보경:PER>(<던롭 스릭슨:ORG>)도 <두산매치플레이챔피언십:POH> 우승후 자신감을 얻었지만 샷의 일관성에서는 <유소연:PER>이 앞선다 .
김보경	김보경	NNP	B-PER
(	(	SS	O
던롭	던롭	NNP	B-ORG
_	_	_	I-ORG
스	스	NNG	I-ORG
릭슨	릭슨	NNP	I-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
두산	두산	NNP	B-POH
매치플레이	매치플레이	NNG	I-POH
챔피언십	챔피언십	NNG	I-POH
_	_	_	O
우승	우승	NNG	O
후	후	NNG	O
_	_	_	O
자신감	자신감	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
샷	샷	NNG	O
의	의	JKG	O
_	_	_	O
일관성	일관성	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
유소연	유소연	NNP	B-PER
이	이	JKS	O
_	_	_	O
앞선다	앞서+ㄴ다	VV+EC	O
_	_	_	O
.	.	SF	O

## 146
## 대부분의 파4홀에서 쇼트 아이언으로 그린을 공략할 것으로 예상돼 3~4언더파는 무난할 듯 .
## 대부분의 <파4:NOH>홀에서 쇼트 아이언으로 그린을 공략할 것으로 예상돼 <3:NOH>~<4언더파:NOH>는 무난할 듯 .
대부분	대부분	NNG	O
의	의	JKG	O
_	_	_	O
파	파	NNG	B-NOH
4	4	SN	I-NOH
홀	홀	NNG	O
에서	에서	JKB	O
_	_	_	O
쇼트	쇼트	NNG	O
_	_	_	O
아이언	아이언	NNG	O
으로	으로	JKB	O
_	_	_	O
그린	그린	NNG	O
을	을	JKO	O
_	_	_	O
공략할	공략하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예상돼	예상되+어	VV+EC	O
_	_	_	O
3	3	SN	B-NOH
~	~	SO	O
4	4	SN	B-NOH
언더파	언더파	NNG	I-NOH
는	는	JX	O
_	_	_	O
무난할	무난하+ㄹ	VA+ETM	O
_	_	_	O
듯	듯	NNB	O
_	_	_	O
.	.	SF	O

## 147
## 한국 스포츠계의 어두운 단면이 다시 한번 여실히 드러났다 .
## <한국:ORG> 스포츠계의 어두운 단면이 다시 <한번:NOH> 여실히 드러났다 .
한국	한국	NNP	B-ORG
_	_	_	O
스포츠	스포츠	NNG	O
계	계	XSN	O
의	의	JKG	O
_	_	_	O
어두	어둡	VA	O
운	ㄴ	ETM	O
_	_	_	O
단면	단면	NNG	O
이	이	JKS	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
한	한	MM	B-NOH
번	번	NNB	I-NOH
_	_	_	O
여실히	여실히	MAG	O
_	_	_	O
드러났	드러나+았	VV+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 148
## 오는 13일 제주 테디밸리골프장(파72 ㆍ 6353야드)에서 개막하는 총상금 4억원짜리 빅매치 비씨카드클래식이 바로 격전의 현장이다 .
## 오는 <13일:DAT> <제주:LOC> <테디밸리골프장:LOC>(<파72:NOH> ㆍ <6353야드:NOH>)에서 개막하는 총상금 <4억원:MNY>짜리 빅매치 <비씨카드클래식:POH>이 바로 격전의 현장이다 .
오	오	VV	O
는	는	ETM	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
제주	제주	NNP	B-LOC
_	_	_	O
테디	테디	NNP	B-LOC
밸리	밸리	NNG	I-LOC
골프장	골프장	NNG	I-LOC
(	(	SS	O
파	파	NNG	B-NOH
72	72	SN	I-NOH
_	_	_	O
ㆍ	ㆍ	SP	O
_	_	_	O
6353	6353	SN	B-NOH
야드	야드	NNB	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
개막하	개막하	VV	O
는	는	ETM	O
_	_	_	O
총	총	XPN	O
상금	상금	NNG	O
_	_	_	O
4	4	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
짜리	짜리	XSN	O
_	_	_	O
빅	빅	NNG	O
매치	매치	NNG	O
_	_	_	O
비씨카드	비씨카드	NNP	B-POH
클래식	클래식	NNG	I-POH
이	이	JKS	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
격전	격전	NNG	O
의	의	JKG	O
_	_	_	O
현장	현장	NNG	O
이	이	VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 149
## 물론 지난해 9승을 수확할 때와는 상황이 조금 다르다 .
## 물론 지난해 <9승:NOH>을 수확할 때와는 상황이 조금 다르다 .
물론	물론	MAG	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
9	9	SN	B-NOH
승	승	NNB	I-NOH
을	을	JKO	O
_	_	_	O
수확할	수확하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
와	와	JKB	O
는	는	JX	O
_	_	_	O
상황	상황	NNG	O
이	이	JKS	O
_	_	_	O
조금	조금	MAG	O
_	_	_	O
다르	다르	VA	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 150
## 두번씩이나 다잡았던 우승을 막판에 놓쳤던 안선주(21 ㆍ 하이마트)도 절치부심하고 있다 .
## 두번씩이나 다잡았던 우승을 막판에 놓쳤던 <안선주:PER>(<21:NOH> ㆍ <하이마트:ORG>)도 절치부심하고 있다 .
두	두	MM	O
번	번	NNB	O
씩	씩	XSN	O
이나	이나	JX	O
_	_	_	O
다잡	다잡	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
막판	막판	NNG	O
에	에	JKB	O
_	_	_	O
놓	놓치	VV	O
쳤	었	EP	O
던	던	ETM	O
_	_	_	O
안선주	안선주	NNP	B-PER
(	(	SS	O
21	21	SN	B-NOH
_	_	_	O
ㆍ	ㆍ	SP	O
_	_	_	O
하이마트	하이마트	NNP	B-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
절치부심하	절치부심하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 151
## 코칭스태프가 공교롭게도 모두 센터 출신인 LIG가 다시 같은 포지션인 김상우를 선택한 것은 다소 의외라는 배구계의 반응 .
## 코칭스태프가 공교롭게도 모두 센터 출신인 <LIG:ORG>가 다시 같은 <포지:PER>션인 <김상우:PER>를 선택한 것은 다소 의외라는 배구계의 반응 .
코칭스태프	코칭스태프	NNG	O
가	가	JKS	O
_	_	_	O
공교롭	공교롭	VA	O
게	게	EC	O
도	도	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
센터	센터	NNG	O
_	_	_	O
출신	출신	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
LIG	LIG	SL	B-ORG
가	가	JKS	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
포지션	포지션	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김상우	김상우	NNP	B-PER
를	를	JKO	O
_	_	_	O
선택한	선택하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
다소	다소	MAG	O
_	_	_	O
의외	의외+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
배구	배구	NNG	O
계	계	XSN	O
의	의	JKG	O
_	_	_	O
반응	반응	NNG	O
_	_	_	O
.	.	SF	O

## 152
## 그동안 인하대 출신 코칭스태프라는 전통을 쌓아온 대한항공은 새 사령탑 영입을 시작으로 코치진까지 ‘개혁’을 서두르고 있다 .
## 그동안 <인하대:ORG> 출신 코칭스태프라는 전통을 쌓아온 <대한항공:ORG>은 새 사령탑 영입을 시작으로 코치진까지 ‘개혁’을 서두르고 있다 .
그동안	그동안	NNG	O
_	_	_	O
인하대	인하대	NNP	B-ORG
_	_	_	O
출신	출신	NNG	O
_	_	_	O
코칭스태프	코칭스태프+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
전통	전통	NNG	O
을	을	JKO	O
_	_	_	O
쌓	쌓	VV	O
아	아	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
대한항공	대한항공	NNP	B-ORG
은	은	JX	O
_	_	_	O
새	새	MM	O
_	_	_	O
사령탑	사령탑	NNG	O
_	_	_	O
영입	영입	NNG	O
을	을	JKO	O
_	_	_	O
시작	시작	NNG	O
으로	으로	JKB	O
_	_	_	O
코치	코치	NNG	O
진	진	XSN	O
까지	까지	JX	O
_	_	_	O
‘	‘	SS	O
개혁	개혁	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
서두르	서두르	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 153
## 한편 이번 골프토토 승무패 24회차는 12일 오후 10시에 발매가 마감되며, 공식 적중결과는 13일 발표된다 .
## 한편 이번 <골프토토:POH> 승무패 <24회:NOH>차는 <12일:DAT> <오후 10시:TIM>에 발매가 마감되며, 공식 적중결과는 <13일:DAT> 발표된다 .
한편	한편	MAG	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
골프	골프	NNG	B-POH
토토	토토	NNP	I-POH
_	_	_	O
승	승	NNG	O
무패	무패	NNG	O
_	_	_	O
24	24	SN	B-NOH
회차	회차	NNG	O
는	는	JX	O
_	_	_	O
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
10	10	SN	I-TIM
시	시	NNB	I-TIM
에	에	JKB	O
_	_	_	O
발매	발매	NNG	O
가	가	JKS	O
_	_	_	O
마감되	마감되	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
적중	적중	NNG	O
결과	결과	NNG	O
는	는	JX	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
발표된다	발표되+ㄴ다	VV+EC	O
_	_	_	O
.	.	SF	O

## 154
## 레이커스는 이날 승리로 올해 플레이오프 홈 9연승 행진을 이어갔다 .
## <레이커스:ORG>는 이날 승리로 올해 플레이오프 홈 <9연승:NOH> 행진을 이어갔다 .
레이커스	레이커스	NNP	B-ORG
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
승리	승리	NNG	O
로	로	JKB	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
플레이오프	플레이오프	NNG	O
_	_	_	O
홈	홈	NNG	O
_	_	_	O
9	9	SN	B-NOH
연승	연승	NNG	I-NOH
_	_	_	O
행진	행진	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
어	어+가	EC+VX	O
갔	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 155
## 앨런이 공격을 주도하는 가운데 가넷이 득점에 가담했고 특유의 수비력이 되살아났다 .
## <앨런:PER>이 공격을 주도하는 가운데 <가넷:PER>이 득점에 가담했고 특유의 수비력이 되살아났다 .
앨런	앨런	NNP	B-PER
이	이	JKS	O
_	_	_	O
공격	공격	NNG	O
을	을	JKO	O
_	_	_	O
주도하	주도하	VV	O
는	는	ETM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
가넷	가넷	NNP	B-PER
이	이	JKS	O
_	_	_	O
득점	득점	NNG	O
에	에	JKB	O
_	_	_	O
가담	가담하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
특유	특유	NNG	O
의	의	JKG	O
_	_	_	O
수비력	수비력	NNG	O
이	이	JKS	O
_	_	_	O
되살아났	되살아나+았	VV+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 156
## 경기 내내 훌륭한 슛감을 자랑하던 부야시치는 78-76으로 쫓긴 종료 1분53초전 3점슛을 터뜨려 점수차를 벌렸다 .
## 경기 내내 훌륭한 슛감을 자랑하던 <부야시치:PER>는 <78-76:NOH>으로 쫓긴 종료 <1분53초:NOH>전 <3점:NOH>슛을 터뜨려 점수차를 벌렸다 .
경기	경기	NNG	O
_	_	_	O
내내	내내	MAG	O
_	_	_	O
훌륭한	훌륭하+ㄴ	VA+ETM	O
_	_	_	O
슛	슛	NNG	O
감	감	XSN	O
을	을	JKO	O
_	_	_	O
자랑하	자랑하	VV	O
던	던	ETM	O
_	_	_	O
부야	부야	NNG	B-PER
시치	시치	VV	I-PER
는	는	ETM	O
_	_	_	O
78	78	SN	B-NOH
-	-	SO	I-NOH
76	76	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
쫓긴	쫓기+ㄴ	VV+ETM	O
_	_	_	O
종료	종료	NNG	O
_	_	_	O
1	1	SN	B-NOH
분	분	NNB	I-NOH
53	53	SN	I-NOH
초	초	NNB	I-NOH
전	전	NNG	O
_	_	_	O
3	3	SN	B-NOH
점	점	NNB	I-NOH
슛	슛	NNG	O
을	을	JKO	O
_	_	_	O
터뜨려	터뜨리+어	VV+EC	O
_	_	_	O
점수	점수	NNG	O
차	차	NNG	O
