## 1
## 수백 년 역사를 아우르는 거장들의 미술작품들이 마치 실제 눈앞에 있는 듯한 느낌을 줘요. 또 제임스 카메론, 팀 버튼 감독이 사용한 것으로 알려진 ‘차원화 기술(고화질 입체 변환 기술)’의 결합을 통해 박물관 내부의 원근감도 완벽하게 재현됐어요. 차원화 기술이란 원근법을 향상시켜 관객들이 화면으로 빠져드는 느낌을 받게 하는 제작 기술입니다.
## <수백 년:DUR> 역사를 아우르는 거장들의 미술작품들이 마치 실제 눈앞에 있는 듯한 느낌을 줘요. 또 <제임스 카메론:PER>, <팀 버튼:PER> 감독이 사용한 것으로 알려진 ‘차원화 기술(고화질 입체 변환 기술)’의 결합을 통해 박물관 내부의 원근감도 완벽하게 재현됐어요. 차원화 기술이란 원근법을 향상시켜 관객들이 화면으로 빠져드는 느낌을 받게 하는 제작 기술입니다.
수백	수백	NR	B-DUR
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
가고시마	가고시마	NNP	B-LOC
는	는	JX	O
_	_	_	O
동양	동양	NNG	B-LOC
의	의	JKG	I-LOC
_	_	_	I-LOC
나폴리	나폴리+이	NNP+VCP	I-LOC
라	라	EC	O
_	_	_	O
불리	불리	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
기리시마	기리시마	NNP	B-LOC
_	_	_	I-LOC
온천	온천	NNG	I-LOC
과	과	JC	O
_	_	_	O
검	검	VA	O
은	은	ETM	O
_	_	_	O
모래찜질	모래찜질	NNG	O
로	로	JKB	O
_	_	_	O
유명한	유명하+ㄴ	VA+ETM	O
_	_	_	O
이	이	MM	B-LOC
부스	부스	NNG	I-LOC
키	키	NNG	I-LOC
_	_	_	I-LOC
온천	온천	NNG	I-LOC
으로	으로	JKB	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
알려져	알려지+어	VV+EC	O
_	_	_	O
있	있	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
나가사키	나가사키	NNP	B-LOC
는	는	JX	O
_	_	_	O
산	산	NNG	O
_	_	_	O
중턱	중턱	NNG	O
의	의	JKG	O
_	_	_	O
급사면	급사면	NNG	O
까지	까지	JX	O
_	_	_	O
시가지	시가지	NNG	O
가	가	JKS	O
_	_	_	O
발달한	발달하+ㄴ	VV+ETM	O
_	_	_	O
항구	항구	NNG	O
_	_	_	O
도시	도시	NNG	O
로	로	JKB	O
_	_	_	O
2	2	SN	B-POH
차	차	NNB	I-POH
_	_	_	I-POH
세계대전	세계대전	NNG	I-POH
의	의	JKG	O
_	_	_	O
종지부	종지부	NNG	O
를	를	JKO	O
_	_	_	O
찍	찍	VV	O
은	은	ETM	O
_	_	_	O
원폭	원폭	NNG	O
_	_	_	O
투하	투하	NNG	O
의	의	JKG	O
_	_	_	O
아픔	아픔	NNG	O
을	을	JKO	O
_	_	_	O
간직하	간직하	VV	O
고	고	EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
참화	참화	NNG	O
를	를	JKO	O
_	_	_	O
오늘	오늘	NNG	O
에	에	JKB	O
_	_	_	O
전하	전하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
평화	평화	NNG	O
의	의	JKG	O
_	_	_	O
도시	도시	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

