## 1
## 연규성은 “오디션박스 때부터 함께 노래했던 은영이가 가수로서의 새 출발을 위해 제 노래 ‘슬픈 노래’를 리메이크해 녹음도 다 해놓고 뮤직비디오도 다 찍고 이제 발표만을 남기고 있었는데. 며칠 전에도 만나 밝게 웃으며 함께 녹음하고 했는데 정말 믿기질 않네요”라고 덧붙였다.
## <연규성:PER>은 “오디션박스 때부터 함께 노래했던 <은영이:PER>가 가수로서의 새 출발을 위해 제 노래 ‘<슬픈 노래:POH>’를 리메이크해 녹음도 다 해놓고 뮤직비디오도 다 찍고 이제 발표만을 남기고 있었는데. 며칠 전에도 만나 밝게 웃으며 함께 녹음하고 했는데 정말 믿기질 않네요”라고 덧붙였다.
연규성	연규성	NNP	B-PER
북서	북서	NNG	B-LOC
부	부	XSN	I-LOC
_	_	_	O
협재	협재	NNP	B-LOC
해수욕장	해수욕장	NNG	I-LOC
_	_	_	O
인근	인근	NNG	O
_	_	_	O
갯바위	갯바위	NNG	O
에서	에서	JKB	O
_	_	_	O
파란	파란	NNG	B-POH
고리	고리	NNG	I-POH
문어	문어	NNG	I-POH
에	에	JKB	O
_	_	_	O
물려	물리+어	VV+EC	O
_	_	_	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 17
## 삼성특검 때에는 이건희·이재용 부자를 비롯해 삼성 전·현직 임원 255명이 소환 조사를 받았다.
## <삼성:ORG>특검 때에는 <이건희:PER>·<이재용:PER> 부자를 비롯해 <삼성:ORG> 전·현직 임원 <255명:NOH>이 소환 조사를 받았다.
삼성	삼성	NNP	B-ORG
특검	특검	NNG	O
_	_	_	O
때	때	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
이건희	이건희	NNP	B-PER
·	·	SP	O
이재용	이재용	NNP	B-PER
_	_	_	O
부자	부자	NNG	O
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
삼성	삼성	NNP	B-ORG
_	_	_	O
전	전	MM	O
·	·	SP	O
현직	현직	NNG	O
_	_	_	O
임원	임원	NNG	O
_	_	_	O
255	255	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
소환	소환	NNG	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

